time,signal,rx bitrate, tx bitrate,mcs_number_rx,mcs_number_tx,bandwidth_tx,bandwidth_rx,connections,bitrate1 5G,bitrate2 5G
87.965245837,-35dBm,86.7_MBit/s_MCS_12_short_GI___,115.6_MBit/s_MCS_13_short_GI___,12,13,115.6,86.7,4,141.4,121.6
87.97224556,-34dBm,86.7_MBit/s_MCS_12_short_GI___,115.6_MBit/s_MCS_13_short_GI___,12,13,115.6,86.7,4,141.4,121.6
88.197918946,-35dBm,130.0_MBit/s_MCS_14_short_GI___,115.6_MBit/s_MCS_13_short_GI___,14,13,115.6,130,4,141.4,156.6
88.349627689,-34dBm,130.0_MBit/s_MCS_14_short_GI___,115.6_MBit/s_MCS_13_short_GI___,14,13,115.6,130,4,141.4,156.6
88.398780065,-36dBm,130.0_MBit/s_MCS_14_short_GI___,115.6_MBit/s_MCS_13_short_GI___,14,13,115.6,130,4,141.4,156.6
88.410870852,-37dBm,130.0_MBit/s_MCS_14_short_GI___,115.6_MBit/s_MCS_13_short_GI___,14,13,115.6,130,4,141.4,156.6
88.684795465,-35dBm,144.4_MBit/s_MCS_15_short_GI___,115.6_MBit/s_MCS_13_short_GI___,15,13,115.6,144.4,4,141.4,173.6
88.709813534,-37dBm,144.4_MBit/s_MCS_15_short_GI___,115.6_MBit/s_MCS_13_short_GI___,15,13,115.6,144.4,4,141.4,173.6
88.728472454,-36dBm,144.4_MBit/s_MCS_15_short_GI___,115.6_MBit/s_MCS_13_short_GI___,15,13,115.6,144.4,4,141.4,173.6
88.988285758,-35dBm,144.4_MBit/s_MCS_15_short_GI___,130.0_MBit/s_MCS_14_short_GI___,15,14,130,144.4,4,156.6,173.6
89.007215942,-36dBm,130.0_MBit/s_MCS_14_short_GI___,130.0_MBit/s_MCS_15_____,14,15,130,130,4,173.6,156.6
89.037531854,-35dBm,115.6_MBit/s_MCS_13_short_GI___,130.0_MBit/s_MCS_15_____,13,15,130,115.6,4,173.6,141.4
89.06494445,-34dBm,115.6_MBit/s_MCS_13_short_GI___,130.0_MBit/s_MCS_15_____,13,15,130,115.6,4,173.6,141.4
89.207656779,-34dBm,86.7_MBit/s_MCS_12_short_GI___,130.0_MBit/s_MCS_15_____,12,15,130,86.7,4,173.6,121.6
89.293389444,-36dBm,115.6_MBit/s_MCS_13_short_GI___,130.0_MBit/s_MCS_15_____,13,15,130,115.6,4,173.6,141.4
89.308000837,-35dBm,130.0_MBit/s_MCS_14_short_GI___,130.0_MBit/s_MCS_15_____,14,15,130,130,4,173.6,156.6
89.903325988,-34dBm,130.0_MBit/s_MCS_14_short_GI___,130.0_MBit/s_MCS_15_____,14,15,130,130,4,173.6,156.6
89.978204469,-35dBm,144.4_MBit/s_MCS_15_short_GI___,130.0_MBit/s_MCS_15_____,15,15,130,144.4,4,173.6,173.6
91.642096039,-34dBm,78.0_MBit/s_MCS_12_____,130.0_MBit/s_MCS_15_____,12,15,130,78,4,173.6,121.6
93.675240141,-35dBm,86.7_MBit/s_MCS_12_short_GI___,130.0_MBit/s_MCS_15_____,12,15,130,86.7,4,173.6,121.6
94.158462869,-36dBm,86.7_MBit/s_MCS_12_short_GI___,130.0_MBit/s_MCS_15_____,12,15,130,86.7,4,173.6,121.6
94.46560624,-35dBm,115.6_MBit/s_MCS_13_short_GI___,117.0_MBit/s_MCS_14_____,13,14,117,115.6,4,156.6,141.4
94.655751394,-35dBm,86.7_MBit/s_MCS_12_short_GI___,117.0_MBit/s_MCS_14_____,12,14,117,86.7,4,156.6,121.6
94.776785266,-36dBm,57.8_MBit/s_MCS_11_short_GI___,130.0_MBit/s_MCS_15_____,11,15,130,57.8,4,173.6,103.8
94.825105249,-35dBm,57.8_MBit/s_MCS_11_short_GI___,130.0_MBit/s_MCS_15_____,11,15,130,57.8,4,173.6,103.8
94.857793569,-35dBm,43.3_MBit/s_MCS_10_short_GI___,130.0_MBit/s_MCS_15_____,10,15,130,43.3,4,173.6,85.3
94.948472109,-37dBm,130.0_MBit/s_MCS_14_short_GI___,130.0_MBit/s_MCS_15_____,14,15,130,130,4,173.6,156.6
95.808242894,-39dBm,144.4_MBit/s_MCS_15_short_GI___,130.0_MBit/s_MCS_15_____,15,15,130,144.4,4,173.6,173.6
